"ITTER107","Territorio","TIPO_DATO15","Tipo di indicatore demografico","SEXISTAT1","Sesso","ETA1","Età","STATCIV2","Stato civile","TIME","Seleziona periodo","Value","Flag Codes","Flags"
"063049","Napoli","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",913704,,
"065116","Salerno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",126715,,
"071024","Foggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",145652,,
"072006","Bari","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",316226,,
"073027","Taranto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",187025,,
"075035","Lecce","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",94250,,
"110001","Andria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",96941,,
"110002","Barletta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",92365,,
"110009","Trani","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",54948,,
"077014","Matera","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",59652,,
"078045","Cosenza","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",63701,,
"080063","Reggio di Calabria","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",169679,,
"102047","Vibo Valentia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",31038,,
"018003","Albonese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",545,,
"014002","Albosaggia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2998,,
"005002","Albugnano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",502,,
"018004","Albuzzano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3624,,
"081001","Alcamo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",44659,,
"083001","Alcara li Fusi","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1654,,
"022003","Aldeno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3278,,
"021001","Aldino/Aldein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1620,,
"095004","Ales","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1257,,
"078007","Alessandria del Carretto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",352,,
"084002","Alessandria della Rocca","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2399,,
"075002","Alessano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6038,,
"075003","Alezio","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5670,,
"065004","Alfano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",931,,
"066003","Alfedena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",913,,
"017004","Alfianello","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2281,,
"006004","Alfiano Natta","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",686,,
"039001","Alfonsine","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11557,,
"090003","Alghero","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",42281,,
"016248","Algua","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",685,,
"083002","Alì","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",632,,
"083003","Alì Terme","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2318,,
"082001","Alia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3241,,
"077002","Aliano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",859,,
"006005","Alice Bel Colle","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",670,,
"061002","Alife","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7389,,
"082002","Alimena","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1793,,
"082003","Aliminusa","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1043,,
"095005","Allai","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",349,,
"025003","Alleghe","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1095,,
"007001","Allein","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",209,,
"055002","Allerona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1691,,
"075004","Alliste","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6419,,
"058004","Allumiere","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3734,,
"016005","Almè","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5491,,
"016006","Almenno San Bartolomeo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6543,,
"016007","Almenno San Salvatore","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",5500,,
"001006","Almese","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",6315,,
"024003","Alonte","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1564,,
"001007","Alpette","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",246,,
"001008","Alpignano","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",16587,,
"033002","Alseno","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",4728,,
"072004","Altamura","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",70093,,
"009005","Altare","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",1920,,
"064002","Altavilla Irpina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3873,,
"082004","Altavilla Milicia","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",8837,,
"065005","Altavilla Silentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7010,,
"024004","Altavilla Vicentina","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",11808,,
"109001","Altidona","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3573,,
"069001","Altino","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",3031,,
"024005","Altissimo","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",2164,,
"026001","Altivole","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",7077,,
"004005","Alto","JAN","popolazione al 1º gennaio","9","totale","TOTAL","totale","99","totale","2024","2024",151,,
